rq,treatment,control,metric,family,condition,n_episodes,point_estimate,ci_lower,ci_upper,n_resamples,ci_level
RQ1,V1R0,V0R0,task_success,goto_type_color,N1-DROP-15,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,task_success,goto_type_color,N1-FLIP-10,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,task_success,goto_type_color,clean,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,task_success,key_door_goal,N1-DROP-15,60,-0.083333,-0.166667,-0.016667,10000,0.95
RQ1,V1R0,V0R0,task_success,key_door_goal,N1-FLIP-10,60,-0.083333,-0.216667,0.050000,10000,0.95
RQ1,V1R0,V0R0,task_success,key_door_goal,clean,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,task_success,ALL,ALL,360,-0.027778,-0.052778,-0.002778,10000,0.95
RQ1,V1R0,V0R0,plan_validity,goto_type_color,N1-DROP-15,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,plan_validity,goto_type_color,N1-FLIP-10,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,plan_validity,goto_type_color,clean,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,plan_validity,key_door_goal,N1-DROP-15,60,0.016667,0.000000,0.050000,10000,0.95
RQ1,V1R0,V0R0,plan_validity,key_door_goal,N1-FLIP-10,60,0.033333,-0.083333,0.150000,10000,0.95
RQ1,V1R0,V0R0,plan_validity,key_door_goal,clean,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,plan_validity,ALL,ALL,360,0.008333,-0.011111,0.027778,10000,0.95
RQ1,V1R0,V0R0,efficiency,goto_type_color,N1-DROP-15,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,efficiency,goto_type_color,N1-FLIP-10,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,efficiency,goto_type_color,clean,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,efficiency,key_door_goal,N1-DROP-15,60,-0.046111,-0.087051,-0.009259,10000,0.95
RQ1,V1R0,V0R0,efficiency,key_door_goal,N1-FLIP-10,60,-0.051481,-0.121481,0.019444,10000,0.95
RQ1,V1R0,V0R0,efficiency,key_door_goal,clean,60,0.000000,0.000000,0.000000,10000,0.95
RQ1,V1R0,V0R0,efficiency,ALL,ALL,360,-0.016265,-0.030309,-0.002932,10000,0.95
RQ2,V1R1,V1R0,task_success,goto_type_color,N2-fixed,40,0.750000,0.600000,0.875000,10000,0.95
RQ2,V1R1,V1R0,task_success,key_door_goal,N2-fixed,40,1.000000,1.000000,1.000000,10000,0.95
RQ2,V1R1,V1R0,task_success,ALL,ALL,80,0.875000,0.800000,0.937500,10000,0.95
RQ2,V1R1,V1R0,recovery_rate,goto_type_color,N2-fixed,40,0.750000,0.600000,0.875000,10000,0.95
RQ2,V1R1,V1R0,recovery_rate,key_door_goal,N2-fixed,40,1.000000,1.000000,1.000000,10000,0.95
RQ2,V1R1,V1R0,recovery_rate,ALL,ALL,80,0.875000,0.800000,0.937500,10000,0.95
RQ2,V1R1,V1R0,efficiency,goto_type_color,N2-fixed,40,0.416667,0.308333,0.533333,10000,0.95
RQ2,V1R1,V1R0,efficiency,key_door_goal,N2-fixed,40,0.452273,0.441136,0.463182,10000,0.95
RQ2,V1R1,V1R0,efficiency,ALL,ALL,80,0.434470,0.378938,0.491857,10000,0.95
